2020-03-12 14:33:06,966 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '14.8', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:09,249 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '14.8', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:11,838 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '14.8', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:13,835 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '7.7', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:33:15,644 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '14.8', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:17,475 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '7.7', 'app_name': 'tv.danmaku.bili+\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K'}
2020-03-12 14:33:19,890 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '7.7', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:33:21,693 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '14.8', 'app_name': 'tv.danmaku.bili\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K'}
2020-03-12 14:33:24,011 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '306', 'app_memory_usage': '15.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:26,493 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '15.4', 'app_name': 'tv.danmaku.bili\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K'}
2020-03-12 14:33:28,534 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '6.8', 'app_memory_usage': '7.6', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:33:30,669 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '0.0', 'app_memory_usage': '7.7', 'app_name': 'tv.danmaku.bili+\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K\x1b[?25h\x1b[0m\x1b[1000;1H\x1b[K'}
2020-03-12 14:33:33,811 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.7', 'app_memory_usage': '13.7', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:38,571 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.6', 'app_cpu_usage': '93.6', 'app_memory_usage': '13.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:41,272 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '194', 'app_memory_usage': '16.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:43,497 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '129', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:46,462 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '18.4', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:50,937 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '20.5', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:54,512 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '33.3', 'app_memory_usage': '7.4', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:33:57,295 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '105', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:33:59,748 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '83.7', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:02,553 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '30.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:05,161 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '70.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:07,654 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '79.4', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:09,868 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '72.5', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:13,555 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '72.5', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:16,149 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '25.6', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:18,516 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '56.4', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
